FlarePeaks,LogValue,Classes,FlareIdentity
2.0132e-07,-6.696113078274897,A Class,0
2.0132e-07,-6.696113078274897,B Class,20
3.8003e-07,-6.420182118330064,C Class,2
3.8003e-07,-6.420182118330064,M Class,0
1.0326e-06,-5.986067879288796,X Class,0
1.0326e-06,-5.986067879288796,,
2.2708e-07,-6.643821114446625,,
2.2708e-07,-6.643821114446625,,
6.231100000000001e-07,-6.20543527890096,,
6.231100000000001e-07,-6.20543527890096,,
5.0325e-07,-6.298216216439308,,
5.0325e-07,-6.298216216439308,,
2.5321e-07,-6.5965191467626605,,
2.5321e-07,-6.5965191467626605,,
2.1116e-07,-6.675388346671079,,
2.1116e-07,-6.675388346671079,,
8.560600000000002e-07,-6.067495795187659,,
8.560600000000002e-07,-6.067495795187659,,
2.0841e-07,-6.681081446405983,,
2.0841e-07,-6.681081446405983,,
2.5878e-07,-6.587069291470405,,
2.5878e-07,-6.587069291470405,,
